,participant,word,onset,ep_type,last_sound,context
366,3,sloth,sl,none,na,context
367,3,slouched,sl,none,z,passage
368,3,slouched,sl,none,na,context
369,3,slow,sl,none,t,passage
370,3,slow,sl,none,na,context
371,3,slugs,sl,none,i,passage
372,3,slugs,sl,none,na,context
373,3,smacked,sm,none,t,passage
374,3,smacked,sm,none,na,context
375,3,small,sm,none,s,passage
376,3,small,sm,none,r,passage
377,3,small,sm,none,na,context
378,3,small,sm,none,na,context
379,3,smelling,sm,none,z,passage
380,3,smelling,sm,none,na,context
381,3,smiles,sm,none,p,passage
382,3,smiles,sm,none,na,context
383,3,smith,sm,none,na,passage
384,3,smith,sm,none,na,context
385,3,smog,sm,none,k,passage
386,3,smog,sm,none,na,context
387,3,snag,sn,none,d,passage
388,3,snag,sn,none,na,context
389,3,snaps,sn,none,n,passage
390,3,snaps,sn,none,na,context
391,3,snatch,sn,none,n,passage
392,3,snatch,sn,none,na,context
393,3,sniffs,sn,none,o,passage
394,3,sniffs,sn,none,na,context
395,3,snips,sn,none,i,passage
396,3,snips,sn,none,na,context
397,3,snoops,sn,none,d,passage
398,3,snoops,sn,none,na,context
399,3,snow,sn,none,e,passage
400,3,snow,sn,none,na,context
401,3,spark,sp,none,g,passage
402,3,spark,sp,none,na,context
403,3,speed,sp,none,l,passage
404,3,speed,sp,none,na,context
405,3,spreading,sp,none,l,passage
406,3,spreading,sp,none,na,context
407,3,start,st,none,d,passage
408,3,start,st,none,na,context
409,3,starts,st,none,s,passage
410,3,starts,st,none,d,passage
411,3,starts,st,none,na,context
412,3,steps,st,none,n,passage
413,3,steps,st,none,na,context
414,3,stop,st,none,t,passage
415,3,stop,st,none,na,context
416,3,swats,sw,none,d,passage
417,3,swats,sw,none,na,context
418,3,sweeping,sw,none,z,passage
419,3,sweeping,sw,none,na,context
420,3,sweeps,sw,none,d,passage
421,3,sweeps,sw,none,na,context
422,3,swim,sw,none,d,passage
423,3,swim,sw,none,na,context
424,3,swoon,sw,none,n,passage
425,3,swoon,sw,none,na,context
426,3,thrashing,θr,none,z,passage
427,3,thrashing,θr,none,na,context
428,3,thread,θr,none,r,passage
429,3,thread,θr,none,na,context
430,3,three,θr,none,m,passage
431,3,three,θr,none,na,context
432,3,throttle,θr,none,z,passage
433,3,throttle,θr,none,na,context
434,3,trot,tr,none,z,passage
435,3,trot,tr,none,na,context
436,3,tweaking,tw,none,n,passage
437,3,tweaking,tw,none,na,context
438,3,twin,tw,none,r,passage
439,3,twin,tw,none,na,context
440,3,twitches,tw,none,n,passage
441,3,twitches,tw,none,na,context
442,4,anaptyxis,pl,none,e,passage
443,4,beautiful,bj,none,r,passage
444,4,beautiful,bj,none,na,context
445,4,breeze,br,none,e,passage
446,4,breeze,br,none,na,context
447,4,bring,br,none,r,passage
448,4,bring,br,none,na,context
449,4,brings,br,none,r,passage
450,4,brings,br,none,na,context
451,4,brother,br,none,n,passage
452,4,brother,br,none,na,context
453,4,bugle,bj,na,f,passage
454,4,bugle,bj,na,na,context
455,4,clean,kl,none,n,passage
456,4,clean,kl,none,na,context
457,4,creek,kr,none,r,passage
458,4,creek,kr,none,na,context
459,4,cute,kj,none,e,passage
460,4,cute,kj,none,na,context
461,4,dreaming,dr,none,p,passage
462,4,dreaming,dr,none,na,context
463,4,drink,dr,none,i,passage
464,4,drink,dr,none,na,context
465,4,dwarf,dw,none,e,passage
466,4,dwarf,dw,none,na,context
467,4,dwayne,dw,none,na,passage
468,4,dwayne,dw,none,na,context
469,4,flickering,fl,none,t,passage
470,4,flickering,fl,none,na,context
471,4,flock,fl,none,e,passage
472,4,flock,fl,none,na,context
473,4,floor,fl,none,i,passage
474,4,floor,fl,none,na,context
475,4,fly,fl,none,s,passage
476,4,fly,fl,none,na,context
477,4,flying,fl,none,s,passage
478,4,flying,fl,none,na,context
479,4,freaks,fr,none,i,passage
480,4,freaks,fr,none,na,context
481,4,gloves,gl,none,l,passage
482,4,gloves,gl,none,na,context
483,4,grabs,gr,none,d,passage
484,4,grabs,gr,none,na,context
485,4,ground,gr,none,e,passage
486,4,ground,gr,none,na,context
487,4,place,pl,none,u,passage
488,4,place,pl,none,na,context
489,4,please,pl,none,na,passage
490,4,please,pl,none,na,context
491,4,plethora,pl,none,na,context
492,4,quacks,kw,none,d,passage
493,4,quacks,kw,none,na,context
494,4,queen,kw,none,e,passage
495,4,queen,kw,none,na,context
496,4,quickly,kw,none,r,passage
497,4,quickly,kw,none,na,context
498,4,scarlett,sk,none,k,passage
499,4,scarlett,sk,prothesis,na,context
500,4,scoop,sk,none,n,passage
501,4,scoop,sk,none,na,context
502,4,skeptical,sk,prothesis,z,passage
503,4,skeptical,sk,prothesis,na,context
504,4,skin,sk,none,z,passage
505,4,skin,sk,none,na,context
506,4,skip,sk,none,n,passage
507,4,skip,sk,none,na,context
508,4,sleep,sl,none,d,passage
509,4,sleep,sl,none,na,context
510,4,slips,sl,prothesis,u,passage
511,4,slips,sl,none,na,context
512,4,sloth,sl,none,l,passage
513,4,sloth,sl,none,na,context
514,4,slouched,sl,none,z,passage
515,4,slouched,sl,none,na,context
516,4,slow,sl,none,t,passage
517,4,slow,sl,none,na,context
518,4,slugs,sl,prothesis,i,passage
519,4,slugs,sl,none,na,context
520,4,smacked,sm,none,t,passage
521,4,smacked,sm,none,na,context
522,4,small,sm,none,s,passage
523,4,small,sm,none,r,passage
524,4,small,sm,none,na,context
525,4,small,sm,none,na,context
526,4,smelling,sm,none,z,passage
527,4,smelling,sm,none,na,context
528,4,smiles,sm,none,p,passage
529,4,smiles,sm,none,na,context
530,4,smith,sm,none,na,passage
531,4,smith,sm,none,na,context
532,4,smog,sm,none,k,passage
533,4,smog,sm,none,na,context
534,4,snag,sn,none,d,passage
535,4,snag,sn,none,na,context
536,4,snaps,sn,none,n,passage
537,4,snaps,sn,none,na,context
538,4,snatch,sn,none,n,passage
539,4,snatch,sn,none,na,context
540,4,sniffs,sn,prothesis,o,passage
541,4,sniffs,sn,none,na,context
542,4,snips,sn,prothesis,i,passage
543,4,snips,sn,none,na,context
544,4,snoops,sn,prothesis,d,passage
545,4,snoops,sn,none,na,context
546,4,snow,sn,none,e,passage
547,4,snow,sn,none,na,context
548,4,spark,sp,none,g,passage
549,4,spark,sp,none,na,context
550,4,speed,sp,none,l,passage
551,4,speed,sp,none,na,context
552,4,spreading,sp,none,l,passage
553,4,spreading,sp,none,na,context
554,4,start,st,none,d,passage
555,4,start,st,none,na,context
556,4,starts,st,none,s,passage
557,4,starts,st,none,d,passage
558,4,starts,st,none,na,context
559,4,steps,st,none,n,passage
560,4,steps,st,none,na,context
561,4,stop,st,none,t,passage
562,4,stop,st,none,na,context
563,4,swats,sw,none,d,passage
564,4,swats,sw,none,na,context
565,4,sweeping,sw,none,z,passage
566,4,sweeping,sw,none,na,context
567,4,sweeps,sw,none,d,passage
568,4,sweeps,sw,none,na,context
569,4,swim,sw,none,d,passage
570,4,swim,sw,none,na,context
571,4,swoon,sw,none,n,passage
572,4,swoon,sw,none,na,context
573,4,thrashing,θr,none,z,passage
574,4,thrashing,θr,none,na,context
575,4,thread,θr,none,r,passage
576,4,thread,θr,none,na,context
577,4,three,θr,none,m,passage
578,4,three,θr,none,na,context
579,4,throttle,θr,none,z,passage
580,4,throttle,θr,none,na,context
581,4,trot,tr,na,z,passage
582,4,trot,tr,none,na,context
583,4,tweaking,tw,none,n,passage
584,4,tweaking,tw,none,na,context
585,4,twin,tw,none,r,passage
