participant,word ,onset,ep_type,last_sound ,context 
3,skin ,sk ,none,z,passage 
3,snag ,sn ,none,d,passage 
3,thread ,θr ,none,r,passage 
3,sweeps ,sw ,none,d,passage 
3,please ,pl ,none,na,passage 
3,floor ,fl ,none,i,passage 
3,thrashing ,θr,none,z,passage 
3,speed ,sp ,none,l,passage 
3,smiles ,sm ,none,p,passage 
3,swoon ,sw ,none,n,passage 
3,slouched ,sl ,none,z,passage 
3,swim ,sw ,none,d,passage 
3,dreaming ,dr ,none,p,passage 
3,twin ,tw ,none,r,passage 
3,bugle ,bj ,none,f,passage 
3,clean ,kl ,none,n,passage 
3,snips ,sn ,none,i,passage 
3,ground ,gr ,none,e,passage 
3,slips ,sl ,none,u,passage 
3,place ,pl ,none,u,passage 
3,tweaking ,tw ,none,n,passage 
3,sweeping ,sw ,none,z,passage 
3,sloth ,sl ,none,l,passage 
3,spreading ,sp,none,l,passage 
3,sniffs ,sn ,none,o,passage 
3,flock ,fl ,none,e,passage 
3,snatch ,sn ,none,n,passage 
3,small ,sm ,none,r,passage 
3,slow ,sl ,none,t,passage 
3,stop ,st ,none,t,passage 
3,smacked ,sm ,none,t,passage 
3,skeptical ,sk ,none,z,passage 
3,fly ,fl ,none,s,passage 
3,breeze ,br ,none,e,passage 
3,queen ,kw ,none,e,passage 
3,twitches ,tw ,none,n,passage 
3,throttle ,θr,none,z,passage 
3,brings ,br ,none,r,passage 
3,three ,θr,none,m,passage 
3,sleep ,sl ,none,d,passage 
3,scarlett ,sk ,none,k,passage 
3,creek ,kr ,none,r,passage 
3,plethora ,pl ,none,e,passage 
3,snow ,sn ,none,e,passage 
3,smelling ,sm ,none,z,passage 
3,brother ,br ,none,n,passage 
3,freaks ,fr ,none,i,passage 
3,start,st,none,d,passage 
3,trot ,tr ,none,na,context 
3,snaps ,sn ,none,na,context 
3,dwayne ,dw ,none,na,context 
3,cute ,kj ,none,na,context 
3,swats ,sw ,none,na,context 
3,gloves ,gl ,none,na,context 
3,smith ,sm ,none,na,context 
3,starts ,st ,none,na,context 
3,steps ,st ,none,na,context 
3,slugs ,sl ,none,na,context 
3,quacks ,kw ,none,na,context 
3,skip ,sk ,none,na,context 
3,flying ,fl ,none,na,context 
3,drink ,dr ,none,na,context 
3,grabs ,gr ,none,na,context 
3,smog ,sm ,none,na,context 
3,beautiful ,bj ,none,na,context 
3,dwarf ,dw ,none,na,context 
3,quickly ,kw ,none,na,context 
3,snoops ,sn ,none,na,context 
3,bring ,br ,none,na,context 
3,start ,st ,none,na,context 
3,flickering ,fl ,none,na,context 
3,spark ,sp ,none,na,context 
3,small ,sm ,none,na,context 
3,scoop ,sk ,none,na,context 
3,skin ,sk ,none,na,context 
3,snag ,sn ,none,na,context 
3,thread ,θr ,none,na,context 
3,sweeps ,sw ,none,na,context 
3,please ,pl ,none,na,context 
3,floor ,fl ,none,na,context 
3,thrashing ,θr,none,na,context 
3,speed ,sp ,none,na,context 
3,smiles ,sm ,none,na,context 
3,swoon ,sw ,none,na,context 
3,slouched ,sl ,none,na,context 
3,swim ,sw ,none,na,context 
3,dreaming ,dr ,none,na,context 
3,twin ,tw ,none,na,context 
3,bugle ,bj ,none,na,context 
3,clean ,kl ,none,na,context 
3,snips ,sn ,none,na,context 
3,ground ,gr ,none,na,context 
3,slips ,sl ,none,na,context 
3,place ,pl ,none,na,context 
3,tweaking ,tw ,none,na,context 
3,sweeping ,sw ,none,na,context 
3,sloth ,sl ,none,na,context 
3,spreading ,sp,none,na,context 
